vessel_name	vessel_service	vessel_class	vessel_type	vessel_subtype	flag_desc	vessel_activity_role_desc	waterway_name	substance_name	substance_class	substance_subclass	substance_type	substance_subtype	latitude	longitude	discharge_amnt_total	discharge_situation_type	unit_of_measure
NEPTUNES PRIDE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	Withlacoochee River	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.023382	-82.619282	10	Point-source one-time discharge	GALLONS (Liquids Only)
MEGAN-RENEE	Unclassified	Miscellaneous Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	COLUMBIA RIVER	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		45.85984	-122.7839	10	Point-source one-time discharge	GALLONS (Liquids Only)
NO NAME	Recreational	Recreational	Small Watercraft	General	UNITED STATES	Acknowledged Pollution Source	BR BROWNSVILLE SHIP CHANNEL	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	26.0544445	-97.1769445	10	Point-source one-time discharge	GALLONS (Liquids Only)
BABY SAL	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Suspected Pollution Source	SAN FRANCISCO BAY	"Oil, fuel: No. 2"	OIL	Petroleum	"Oil, fuel"	No. 2	37.81666667	-122.4166667	10	Point-source one-time discharge	GALLONS (Liquids Only)
YEOMAC	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	DIVIDING CREEK	Oil: Diesel	OIL	Petroleum	Oil	Diesel	37.73831	-76.34032	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
DAVID REESE	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.16017	-90.23445	10	Point-source one-time discharge	GALLONS (Liquids Only)
OSPREY	Unclassified	Miscellaneous Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	COCKRELLS CREEK	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		37.84097	-76.28156	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
EAGLES NEST2	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	Banana River	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	28.40894333	-80.645945	10	Point-source one-time discharge	GALLONS (Liquids Only)
MILLIE B	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	REVILLAGIGADO CHANNEL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	55.18044	-131.2971	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
MISS BEHAVIN	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	"LAKE ERIE, Cuyahoga River"	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	41.545	-81.63666667	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
MARK SHURDEN	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	General	UNITED STATES	Acknowledged Pollution Source		Oil: Diesel	OIL	Petroleum	Oil	Diesel	32.352	-90.884	10	Point-source one-time discharge	GALLONS (Liquids Only)
HELEN MCCOLL	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Troller	UNITED STATES	Acknowledged Pollution Source	YAQUINA BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	44.61111	-124.0169	10	Point-source one-time discharge	GALLONS (Liquids Only)
SEA BREEZE	Passenger (Uninspected)	Passenger Ship	General	"General (6 or Fewer, Gross Tonnage < 100)"	UNITED STATES	Suspected Pollution Source	ST. PAUL HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	57.79361	-152.4058	10	Point-source one-time discharge	GALLONS (Liquids Only)
CRANE BARGE 1	Industrial Vessel	Barge	Industrial Barge	Derrick/Crane Barge	UNITED STATES	Acknowledged Pollution Source	SACRAMENTO RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	40.58948	-122.3632	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
MD 3996 BP	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Trawler Type"	UNITED STATES	Acknowledged Pollution Source	FISHING CREEK	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	38.91992	-76.4716	10	Point-source one-time discharge	GALLONS (Liquids Only)
VICTORIA'S DESTINY	Recreational	Recreational	General	General	UNITED STATES	Suspected Pollution Source	URBANNA CREEK	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	37.6402	-76.56782	10	Point-source one-time discharge	GALLONS (Liquids Only)
EASTERN 250	Freight Barge	Barge	General	General	UNITED STATES	Involved in a Marine Investigation (non-casualty)	LITTLE MYSTIC RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	42.38416667	-71.05027667	10	Point-source one-time discharge	GALLONS (Liquids Only)
PILGRIM IV	Passenger (Inspected)	Passenger Ship	General	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Involved in a Marine Investigation (non-casualty)	LITTLE MYSTIC RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	42.38416667	-71.05027667	10	Point-source one-time discharge	GALLONS (Liquids Only)
KARLA F	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Alleged Pollution Source	"HOUMA NAVIGATION CANAL, UPPER"	"Bilge slops (Examples: bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	OIL	Petroleum	Bilge slops (Examples	"bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	29.571595	-90.71725167	10	Point-source one-time discharge	GALLONS (Liquids Only)
TOTALLY BLESSED II	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	NEW PASS	Oil: Diesel	OIL	Petroleum	Oil	Diesel	27.31834	-82.5979	10	Point-source one-time discharge	GALLONS (Liquids Only)
FL3474MZ	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	MIAMI RIVER	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	25.78696667	-80.23506667	10	Point-source one-time discharge	GALLONS (Liquids Only)
MISS KRISSY	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	General	UNITED STATES	Suspected Pollution Source	OLD TAMPA BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	28.000595	-82.666908	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
FL4631FV	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNITED STATES	Acknowledged Pollution Source	CATS POINT CHANNEL	"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	27.736357	-82.724109	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
PELAGIC	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	BELLINGHAM BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	48.62991	-122.5738	10	Point-source one-time discharge	GALLONS (Liquids Only)
JOHN F	Freight Ship	Bulk Carrier	General	Self-Discharging	CYPRUS	Acknowledged Pollution Source	CHARLESTON HARBOR	"Oil, fuel: No. 6"	OIL	Petroleum	"Oil, fuel"	No. 6	32.75974	-79.91885	10	Point-source one-time discharge	GALLONS (Liquids Only)
OCEAN COLUMBIA	Mobile Offshore Drilling Unit	Offshore	MODU	General	MARSHALL ISLANDS	Acknowledged Pollution Source	GULF DEEP WATER ACCESS	Oil: Diesel	OIL	Petroleum	Oil	Diesel	28.74225	-90.46461667	10	Point-source one-time discharge	GALLONS (Liquids Only)
AFTER HOURS	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	COLUMBIA RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	45.62244	-122.6806	10	Point-source one-time discharge	GALLONS (Liquids Only)
UNKNOWN HEWES CRAFT	Recreational	Recreational	Motor Propelled Vessels	Runabout	UNITED STATES	Acknowledged Pollution Source	WILLAMETTE RIVER	Gasoline: Automotive (4.23g Pb/gal)	OIL	Petroleum	Gasoline	Automotive (4.23g Pb/gal)	45.370701	-122.605308	10	Point-source one-time discharge	GALLONS (Liquids Only)
ORCA STAR	Recreational	Passenger Ship	General	"General (6 or Fewer, Gross Tonnage < 100)"	UNITED STATES	Acknowledged Pollution Source	LAKE WASHINGTON SHIP CANAL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.664727	-122.394637	10	Point-source one-time discharge	GALLONS (Liquids Only)
RAZORBACK	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	OLD BRAZOS RIVER	"Oil, misc: Motor"	OIL	Petroleum	"Oil, misc"	Motor	28.950463	-95.336464	10	Point-source one-time discharge	GALLONS (Liquids Only)
WOOD CHUCK	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	General	UNITED STATES	Acknowledged Pollution Source	ATLANTIC DEEP WATER ACCESS	Oil: Diesel	OIL	Petroleum	Oil	Diesel	25.7921	-79.95445	10	Point-source one-time discharge	GALLONS (Liquids Only)
DONZ RIG	Commercial Fishing Vessel	Fishing Vessel	Fishing Support Vessel	General	UNITED STATES	Acknowledged Pollution Source	CHANNEL ISLANDS HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	34.164031	-119.223719	10	Point-source one-time discharge	GALLONS (Liquids Only)
PARTNER SHIP	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Acknowledged Pollution Source	SAN CARLOS BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	26.46802778	-81.95156944	10	Point-source one-time discharge	GALLONS (Liquids Only)
KATIE MAURINE	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	General	UNITED STATES	Acknowledged Pollution Source		"Oil, misc: Lubricating"	OIL	Petroleum	"Oil, misc"	Lubricating	-38.69416667	-90.20516667	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
LO-250	Tank Barge	Barge	Bulk Liquid Cargo (Tank) Barge	General	UNITED STATES	Acknowledged Pollution Source	HOUSTON SHIP CHANNEL ACCESS	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.737432	-95.15644	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
CAROL LINDA	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	"Seiner, Stern Chute"	UNITED STATES	Acknowledged Pollution Source	Pago Pago Harbor	Oil: Diesel	OIL	Petroleum	Oil	Diesel	-14.26861117	-170.6691667	10	Point-source one-time discharge	GALLONS (Liquids Only)
SALT HOG	Recreational	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	PROVINCETOWN HARBOR	Oil: Diesel	OIL	Petroleum	Oil	Diesel	41.04861	-70.16472167	10	Point-source one-time discharge	GALLONS (Liquids Only)
Captain Grigg	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	Acknowledged Pollution Source	YAQUINA BAY	"Oil, misc: Motor"	OIL	Petroleum	"Oil, misc"	Motor	44.61111	-124.0169	10	UNSPECIFIED	GALLONS (Liquids Only)
Captain Grigg	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	Acknowledged Pollution Source	YAQUINA BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	44.61111	-124.0169	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
3 GULLS & A BUOY	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	26.76917	-80.04958	10	Point-source one-time discharge	GALLONS (Liquids Only)
BULLSHIP	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	27.1656	-80.17993	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
THE MARIKA	Passenger (Inspected)	Passenger Ship	Excursion/Tour Vessel	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Acknowledged Pollution Source	LITTLE MYSTIC RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	42.38	-71.05	10	Point-source one-time discharge	GALLONS (Liquids Only)
PIN MONEY ISLAND STYLE	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Luxury"	UNITED STATES	Acknowledged Pollution Source	LONG BEACH DOWNTOWN MARINA	Oil: Diesel	OIL	Petroleum	Oil	Diesel	33.75993	-118.1841	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
THE LADY OF THE SEA	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Involved in a Marine Investigation (non-casualty)	BOCA CIEGA BAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	27.71666667	-82.71666667	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
SIDNEY V.	Towing Vessel	Towing Vessel	Pushing Ahead (Towboat)	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.11256667	-90.194	10	Point-source one-time discharge	GALLONS (Liquids Only)
MY PLEASURE	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Trawler Type"	UNITED STATES	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	26.26266	-80.08342	10	Point-source one-time discharge	GALLONS (Liquids Only)
MISTY BLUE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	LAKE WASHINGTON SHIP CANAL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.66472667	-122.3946367	10	Point-source one-time discharge	GALLONS (Liquids Only)
PRINCESS MARY	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	LAKE WASHINGTON SHIP CANAL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.678147	-122.416859	10	Point-source one-time discharge	GALLONS (Liquids Only)
NJ3928HA	Recreational	Recreational	Motor Propelled Vessels	Cabin Cruiser	UNITED STATES	Alleged Pollution Source	BARNEGAT BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	39.95	-74.1	10	Point-source one-time discharge	GALLONS (Liquids Only)
NO NAME	Recreational	Recreational	Motor Propelled Vessels	Runabout	UNITED STATES	Acknowledged Pollution Source	COLUMBIA RIVER	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	46.15888	-123.247349	10	Point-source one-time discharge	GALLONS (Liquids Only)
CF 7267 FR	Recreational	Recreational	Motor Propelled Vessels	"Yacht, Trawler Type"	UNITED STATES	Acknowledged Pollution Source	CONSOLIDATED SLIP	Oil: Diesel	OIL	Petroleum	Oil	Diesel	33.77728	-118.241	10	Point-source discharge over a period of time	GALLONS (Liquids Only)
BOTTIGLIERI CHALLENGER	Freight Ship	Bulk Carrier	General	General	ITALY	Involved in a Marine Investigation (non-casualty)		"Oil, misc: Residual"	OIL	"Oil, Non-Petroleum Products"	"Oil, misc"	Residual	-20.43333333	57.76666667	10.4	Point-source discharge over a period of time	CUBIC  METERS (Gases Only)
NORSUL RIO	Freight Ship	Bulk Carrier	General	General	BRAZIL	Acknowledged Pollution Source		Oil: Diesel	OIL	Petroleum	Oil	Diesel	36.96666667	-76.43	10.6	Point-source one-time discharge	GALLONS (Liquids Only)
CON-WAY Freight Semi-Truck	Unclassified	Miscellaneous Vessel	General	General	UNSPECIFIED	Alleged Pollution Source	COLUMBIA RIVER	Oil: Diesel	OIL	Petroleum	Oil	Diesel	45.644658	-121.943503	11	Point-source one-time discharge	GALLONS (Liquids Only)
MYSTIC	Freight Ship	General Dry Cargo Ship	Container Ship	General Cargo/Container	SAINT VINCENT AND THE GRENADIN	Acknowledged Pollution Source	ATLANTIC INTRACOASTAL WATERWAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	25.76965	-80.18203	11	Point-source discharge over a period of time	GALLONS (Liquids Only)
NORMAND COMMANDER	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	NORWAY	Acknowledged Pollution Source	GULF DEEP WATER ACCESS	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		29.1	-93.83333333	11	Point-source one-time discharge	GALLONS (Liquids Only)
RIDER	Industrial Vessel	Barge	Industrial Barge	Pipe laying Barge	UNITED STATES	Acknowledged Pollution Source	Mississippi River-Gulf Outlet	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		29.37106	-89.20177	11	Point-source one-time discharge	GALLONS (Liquids Only)
ROBERT W.	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source		"Oil, misc: Motor"	OIL	Petroleum	"Oil, misc"	Motor	37.83333333	-75.53333333	11	Point-source discharge over a period of time	GALLONS (Liquids Only)
CHRISTINA 2	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source		Oil: Diesel	OIL	Petroleum	Oil	Diesel	25.5	-93.66666667	11	Point-source one-time discharge	GALLONS (Liquids Only)
MC3075NL	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source		Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	42.975	-82.425	11	Point-source discharge over a period of time	GALLONS (Liquids Only)
BETTY H	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Acknowledged Pollution Source	Puget Sound	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		48.75	-122.4833333	11	Point-source one-time discharge	GALLONS (Liquids Only)
Captain Tan II	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Acknowledged Pollution Source	BAYOU GRANDE CAILLOU	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		29.34262	-90.73492	11	Point-source one-time discharge	GALLONS (Liquids Only)
LA MARIE	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.16017	-90.23445	11	Point-source one-time discharge	GALLONS (Liquids Only)
SEACOR FREEDOM	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	Gulf of Mexico	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	27.36861117	-94.46916667	11	Point-source one-time discharge	GALLONS (Liquids Only)
KUAN YIN	Passenger (More Than 6)	Passenger Ship	General	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Acknowledged Pollution Source	BUDD INLET	Oil: Diesel	OIL	Petroleum	Oil	Diesel	47.09512	-122.9595	11	Point-source one-time discharge	GALLONS (Liquids Only)
MISS CHERYL	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Involved in a Marine Casualty	PTL LAVACA BAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	28.6443	-96.55499	11	Point-source one-time discharge	GALLONS (Liquids Only)
LONE STAR	Recreational	Recreational	Motor Propelled Vessels	Low-Profile Vessel	UNITED STATES	Suspected Pollution Source	MM 120	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	45.57658333	-122.4261112	11	Point-source one-time discharge	GALLONS (Liquids Only)
BLIZZARD	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	LAKE ERIE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	42.8783	-78.89526	11	Point-source one-time discharge	GALLONS (Liquids Only)
MERLIN CHAMPION	Tank Ship	Tank Ship	Chemical Tank Ship	Oil & Chemical Tank Ship	LIBERIA	Acknowledged Pollution Source	MISSISSIPPI RIVER	"Oil, edible: Vegetable"	OIL	"Oil, Non-Petroleum Products"	"Oil, edible"	Vegetable	30.03345	-90.61794	11	Point-source one-time discharge	GALLONS (Liquids Only)
PACIFIC KNIGHT	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	SANTA MONICA BAY	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		33.8669445	-118.5011112	11	Point-source one-time discharge	GALLONS (Liquids Only)
GRUMPY EXPRESS	Recreational	Recreational	Small Watercraft	General	UNITED STATES	Acknowledged Pollution Source	Back River	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	37.04166667	-76.28833333	12	Point-source one-time discharge	GALLONS (Liquids Only)
EMILY CANDIES	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	"Bilge slops (Examples: bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	OIL	Petroleum	Bilge slops (Examples	"bilge oil, bilge waste, bilge water, bilge waste oil, bilge slop oil, etc.)"	29.16017	-90.23445	12	Point-source one-time discharge	GALLONS (Liquids Only)
VM-2	Freight Barge	Barge	General	General	UNITED STATES	Acknowledged Pollution Source	SABINE PASS CHANNEL	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.82452	-93.96104	12	Point-source one-time discharge	GALLONS (Liquids Only)
NJ1300HC	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNITED STATES	Acknowledged Pollution Source	VIRGINIA INTRACOASTAL WATERWAY	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	38.025889	-75.31337	12	Point-source one-time discharge	GALLONS (Liquids Only)
NORMAND COMMANDER	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	NORWAY	Acknowledged Pollution Source	GULF DEEP WATER ACCESS	"Other oil, oil with no CHRIS Code"	OIL	Petroleum	"Other oil, oil with no CHRIS Code"		29.42786833	-88.98277	12	Point-source one-time discharge	GALLONS (Liquids Only)
AMERICAN TRIUMPH	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	GULF DEEP WATER ACCESS	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		28.24216667	-91.7	12	Point-source one-time discharge	GALLONS (Liquids Only)
MARGUERITAVILLE	Recreational	Recreational	General	General	UNITED STATES	Acknowledged Pollution Source	ST. CATHERINE SOUND	Oil: Diesel	OIL	Petroleum	Oil	Diesel	31.71352	-81.147	12	Point-source one-time discharge	GALLONS (Liquids Only)
GUARDIAN	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source	Lower Mississippi River	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.91414	-90.085256	12	Point-source one-time discharge	GALLONS (Liquids Only)
OSPREY	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Alleged Pollution Source	ARANSAS PASS	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		27.84459	-97.058201	12	Point-source one-time discharge	GALLONS (Liquids Only)
AMBER	Offshore Supply Vessel	Offshore	Offshore Supply Vessel	General	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		29.16017	-90.23445	12	Point-source one-time discharge	GALLONS (Liquids Only)
UNKNOWN VESSEL	Industrial Vessel	Miscellaneous Vessel	Work Boat	General	UNITED STATES	Suspected Pollution Source		"Oil, waste/lubricants - possible contaminant"	OIL	Petroleum	"Oil, waste/lubricants - possible contaminant"		21.31166667	-157.8666667	12	Point-source one-time discharge	GALLONS (Liquids Only)
SAMANTHA	Towing Vessel	Towing Vessel	General	General	NICARAGUA	Acknowledged Pollution Source		"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	30.019469	-81.665463	12	Point-source one-time discharge	GALLONS (Liquids Only)
CORY MICHAEL	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Acknowledged Pollution Source		Oil: Diesel	OIL	Petroleum	Oil	Diesel	33.91833333	-78.02666667	12	Non-point-source (diffuse) discharge	GALLONS (Liquids Only)
VA6142AZ	Recreational	Recreational	Motor Propelled Vessels	General	UNITED STATES	Acknowledged Pollution Source	POTOMAC RIVER	Gasoline: Automotive (Unleaded)	OIL	Petroleum	Gasoline	Automotive (Unleaded)	38.90387	-77.08099	12	UNSPECIFIED	GALLONS (Liquids Only)
ALASKAN ENTERPRISE	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Suspected Pollution Source	Puget Sound	Hydraulic fluid or oil	OIL	Petroleum	Hydraulic fluid or oil		47.83316667	-122.2665528	12	Point-source discharge over a period of time	GALLONS (Liquids Only)
PELICAN	Research Vessel	Research Ship	General	General	UNITED STATES	Suspected Pollution Source	BAYOU TERREBONNE	Oil: Diesel	OIL	Petroleum	Oil	Diesel	29.57907	-90.65905	12	Point-source one-time discharge	GALLONS (Liquids Only)
GUEMES	Passenger (More Than 6)	Passenger Ship	Ferry	"Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Acknowledged Pollution Source	GUEMES CHANNEL	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	48.509592	-122.592476	12	Point-source one-time discharge	GALLONS (Liquids Only)
CAPRICE	Recreational	Recreational	Sailing Vessels	General	UNITED STATES	Suspected Pollution Source		Oil: Diesel	OIL	Petroleum	Oil	Diesel	25.39388883	-80.29777783	12	Point-source one-time discharge	GALLONS (Liquids Only)
JONATHAN GOLDING	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Suspected Pollution Source	TENNESSEE TOMBIGBEE WATERWAY	Oil: Diesel	OIL	Petroleum	Oil	Diesel	34.063712	-88.427125	12	Point-source one-time discharge	GALLONS (Liquids Only)
M/V Bad Fish	Recreational	Recreational	Motor Propelled Vessels	Sport Fisher	UNITED STATES	Acknowledged Pollution Source	San Diego Harbor	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	32.7169445	-117.2183333	12	Point-source one-time discharge	GALLONS (Liquids Only)
U.S. SENATOR FRANK R LAUTENBERG	Passenger (More Than 6)	Passenger Ship	Ferry	"Non Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Acknowledged Pollution Source	HUDSON RIVER	"Oil, fuel: No. 2"	OIL	Petroleum	"Oil, fuel"	No. 2	40.76666667	-74.01433333	12	Point-source one-time discharge	GALLONS (Liquids Only)
MARGUERITE DUFRENE	Passenger (More Than 6)	Passenger Ship	Crew Boat	"General (More Than 6, Gross Tonnage < 100)"	UNITED STATES	Acknowledged Pollution Source	BAYOU LAFOURCHE	"Oil, fuel: No. 2-D"	OIL	Petroleum	"Oil, fuel"	No. 2-D	29.16017	-90.23445	12	Point-source one-time discharge	GALLONS (Liquids Only)
